|novel|brut_sum|brut_type|Total Words|Percentage|field
20|Der Mountie   Das Geheimnis der toten Elche|221|48|28201|0.783660153895252|W
21|Der Zweck heiligt die Mittel|91|25|14767|0.6162389110855285|W
22|Der erste Fall|95|25|16801|0.5654425331825487|W
23|Die Entführung|131|29|18601|0.7042632116552874|W
24|Die Fassade|319|43|51435|0.6202002527461845|W
25|Die Nacht im Mai|652|55|87442|0.7456371080258914|W
26|Die Stunde der Angst|319|41|45282|0.7044741840024734|W
27|Die weiße Witwe|304|47|72252|0.4207495986270276|W
28|Eiskalt|187|32|29770|0.6281491434329862|W
29|Emma|137|25|20010|0.6846576711644178|W
30|Falsche Sterne über Tokyo|99|39|35562|0.2783870423485743|W
31|Familie endet nicht beim Blut|49|19|10126|0.48390282441240373|W
32|Finn Becket Undercover  Drogenrausch|77|20|13295|0.579165099661527|W
33|Frauenmörder  Liebeswirren und andere Katastrophen|101|31|14155|0.713528788413988|W
34|HAMBURG KRIMI   Schatten der Vergangenheit|247|32|34781|0.7101578448003221|W
35|HAMBURG KRIMI II   Teufel in der Hansestadt|492|57|58878|0.8356262101294202|W
36|HInter deinem Schatten|146|35|16042|0.9101109587333251|W
37|Havering Circle|199|35|33855|0.5878009156697681|W
38|Hinter meiner Ex|369|42|30335|1.2164166804021759|W
39|Ich bin Fünf|174|41|27961|0.6222953399377704|W
40|Im Mondenschein|141|26|31390|0.4491876393755973|W
41|Im Namen der Gerechtigkeit|637|51|85451|0.7454564604276135|W
42|Immer wieder Sonntags   |211|42|26732|0.7893161753703427|W
43|In Fünf Zügen|170|25|20215|0.8409596834034133|W
44|In den Mauern des Feindes|238|41|38421|0.6194529033601416|W
45|Interrogation Room|84|17|10347|0.8118295158016816|W
46|Jonas|104|22|16688|0.6232023010546501|W
47|Kein Grund zur Sorge|125|28|23462|0.532776404398602|W
48|Laura|69|14|12022|0.5739477624355348|W
49|Lebende Bombe   Und ich krieg dich doch|175|36|18042|0.9699589845915088|W
50|Leseprobe   Im Fokus der Liebe|216|29|26589|0.8123660160216631|W
51|Leseprobe  Im Fokus der Zukunft|185|32|27800|0.6654676258992805|W
52|Lisa|106|24|18479|0.573624113858975|W
53|Locurar|123|24|13355|0.9210033695245227|W
54|Mad Maids|192|43|26133|0.7347032487659282|W
55|Marie Lena|80|18|12189|0.6563294773976537|W
56|Messerscharf|120|25|12982|0.924356801725466|W
57|Morgenstund |139|19|25550|0.5440313111545988|W
58|Moritz|126|28|16273|0.7742886990720825|W
59|Nachtgeheimnisse|308|42|64599|0.4767875663709964|W
60|Paul|112|22|12898|0.8683516824313847|W
61|Pentagramm|112|29|15054|0.7439883087551481|W
62|Perfect  but better|96|29|14706|0.6527947776417788|W
63|Pierre|101|27|16858|0.5991220785383794|W
64|Police Line|191|46|28609|0.6676220769687861|W
65|REVANGE|385|51|70661|0.5448550119585062|W
66|RMS Titanic Krimi   noch kein Titel |425|47|58325|0.7286755250750108|W
67|SL 8|76|26|12546|0.6057707635899888|W
68|Schattenspringer|74|18|11011|0.6720552175097629|W
69|Schattenwege|387|43|72736|0.5320611526616806|W
70|Spiegelbildmord|159|29|18217|0.8728111105011802|W
71|Stolen Dreams and Hearts  Teil 1  |133|29|40634|0.32731210316483733|W
72|Tara Felber und ein  fast  perfekter Plan|107|26|12478|0.8575092162205481|W
73|The Circle|100|31|12337|0.8105698305909055|W
74|Tot oder lebendig|198|27|31600|0.6265822784810127|W
75|Tot oder lebendig II|153|29|32168|0.4756279532454613|W
76|Tödliche Leidenschaft|117|20|18589|0.6294044865242886|W
77|Um jeden Preis|165|29|31707|0.5203898192828081|W
78|Unheimliches Verschwinden|78|20|15687|0.49722700325109964|W
79|Vampirpfoten|51|20|9832|0.5187144019528072|W
80|Verhöhnter Zorn|101|28|17332|0.5827371336256635|W
81|Vertrauen ist gut    |178|30|27004|0.6591616056880462|W
82|Via Inquisitoris  Draculas Rückkehr|151|32|21196|0.7123985657671259|W
83|Via Inquisitoris  Ein Sarg in Transsylvanien   der vierte Vampirkrimi|155|32|22304|0.6949426111908178|W
84|Via Inquisitoris  Wiener Blut|114|26|17009|0.670233405843965|W
85|Vogelfrei|231|35|32917|0.7017650454172616|W
86|Vom Fischer und seiner Frau|169|33|18527|0.9121822205429913|W
87|Wendland Saga 19  Jh    Alexander von Wendland 2  Buch|282|48|35133|0.8026641618990693|W
88|Zu Kreuze getragen|94|28|11403|0.8243444707533106|W
89|chicago   rache auf umwegen|100|31|15498|0.6452445476835721|W
0|Blutsfeder|286|35|43079|0.6638965621300402|M
1|Crossed Arrows  Verschränkte Pfeile|273|38|36349|0.7510522985501664|M
2|Das Geheimnis von Silver City|156|31|20483|0.7616071864472977|M
3|Das Geisterschiff|218|43|34398|0.6337577766149195|M
4|Das Geschäft|85|21|10727|0.7923930269413629|M
5|Das Mantra für Blau|111|25|19155|0.5794831636648395|M
6|Der Detektiv und die Flüchtlinge|247|44|39937|0.6184740967023061|M
7|Der Pate von Sankt Petersburg|485|51|37842|1.281644733365044|M
8|Detektei X_0|718|52|97663|0.7351811842765429|M
9|Detektei X_1|113|23|19059|0.5928957447924865|M
10|Die Beine des Victor Vervodin|60|27|11329|0.5296142642775179|M
11|Die Biene|155|25|14604|1.0613530539578198|M
12|Eine letzte Kugel|177|40|25005|0.7078584283143371|M
13|Einmal zurück und wieder zurück  bitte |81|27|15837|0.5114605038833112|M
14|Equus Carnifex|336|49|49595|0.6774876499647142|M
15|Goldrausch|298|36|35518|0.8390112055859001|M
16|Himmelstraum|306|43|41733|0.7332326935518654|M
17|Höhenrausch|708|51|83151|0.8514630010462894|M
18|IOSC Duologie  das Prequel|147|32|20933|0.7022404815363302|M
19|Jagdfieber|249|38|34576|0.7201527070800555|M
20|Liebe den Tod |107|22|11112|0.962922966162707|M
21|Precious Insel der Vergangenheit|95|27|14354|0.6618364219033023|M
22|Schneeeule|396|40|44261|0.8946928447165676|M
23|Southern Comfort|171|39|42922|0.39839709240016774|M
24|Stilles Gewässer|293|38|32320|0.906559405940594|M
25|The Tricks of the Detectives|61|21|15200|0.4013157894736842|M
26|The Twist|134|27|12763|1.0499098957925252|M
27|Tote Helden|207|37|35750|0.579020979020979|M
28|Tödliche Begegnung|233|36|31566|0.7381359690806565|M
29|Unter Verdacht|209|30|21994|0.9502591615895244|M
30|Verraten|124|31|15481|0.8009818487177831|M
31|Wolkenkind|373|47|53530|0.6968055296095647|M
